Red Orchestra: Ostfront 41–45,Tripwire Interactive,"Bold Games (retail)
Steam (online)",0,Multiplayer
Luigi's Mansion: Dark Moon,"Next Level Games[1]
Nintendo SPD[2]",Nintendo,0,"Single-player, multiplayer"
Mario & Luigi: Dream Team,"AlphaDream
Good-Feel (Giant Luigi Battles)",Nintendo,0,Single player
Fez,Polytron Corporation,"Microsoft Studios
Polytron Corporation
Trapdoor",0,Single-player
Painkiller: Hell & Damnation,The Farm 51,Nordic Games,0,"Single-player, multiplayer"
"Hatsune Miku: Project DIVA ƒ
Hatsune Miku: Project DIVA F","Sega
Crypton Future Media",Sega,0,Single-player
Anarchy Reigns,Platinum Games,Sega,0,"Single-player, multiplayer"
Enslaved: Odyssey to the West,Ninja Theory,Namco Bandai Games,0,Single-player
Pigsy's Perfect 10,Ninja Theory,Namco Bandai Games,0,Single-player
ARMA 3,Bohemia Interactive,Bohemia Interactive,0,"Single-player, multiplayer"
Muramasa: The Demon Blade,Vanillaware,"Wii

JP Marvelous Entertainment
NA Ignition Entertainment[1]
EU Rising Star Games

PlayStation Vita

JP Marvelous AQL


NA Aksys Games[2]",0,Single-player
The Walking Dead: Season Two,Telltale Games,Telltale Games,0,Single-player
Donkey Kong Country Returns,"Retro Studios,
Monster Games (3DS)[1]",Nintendo,0,"Single-player, multiplayer"
Grand Theft Auto: Vice City Stories,"Rockstar Leeds
Rockstar North",Rockstar Games,0,"Single-player, multiplayer (PlayStation Portable)"
Madden NFL 25,EA Tiburon,EA Sports,0,No data
Assassin's Creed IV: Black Flag,"Ubisoft Montreal

Additional work by:

Ubisoft Annecy
Ubisoft Bucharest
Ubisoft Kiev
Ubisoft Milan
Ubisoft Montpellier
Ubisoft Quebec
Ubisoft Singapore
Ubisoft Sofia",Ubisoft,0,"Single-player, multiplayer[13]"
Sonic Dash,Hardlight,Sega,0,Single-player
"The Legend of Zelda:
A Link Between Worlds","Nintendo EAD
Monolith Soft[1]",Nintendo,0,Single-player
"The Legend of Zelda: Oracle of Seasons
The Legend of Zelda: Oracle of Ages","Capcom
Flagship",Nintendo,0,Single-player
Gears of War: Judgment,"Epic Games
People Can Fly",Microsoft Studios,0,"Single-player, multiplayer"
Brütal Legend,Double Fine,"Electronic Arts[1]
Double Fine (PC)",0,"Single player, multiplayer"
Super Mario 3D World,"Nintendo EAD Tokyo[1]
1-UP Studio[2]",Nintendo,0,"Single-player, multiplayer"
Castlevania: Lords of Shadow – Mirror of Fate,MercurySteam,Konami,0,Single-player
Wii Fit U,"Nintendo EAD Group No. 5
Ganbarion[1]",Nintendo,0,No data
FIFA 14,EA Canada,Electronic Arts,0,"Single-player, Multiplayer"
Eve Online,CCP Games,CCP Games,0,Multiplayer
Sonic the Hedgehog CD,"Sonic Team
Blit Software and Christian Whitehead (2011 ver.)","Sega
SoftKey (PC)",0,Single player
Might & Magic Heroes VI,"Black Hole Entertainment
Limbic Entertainment
Virtuos",Ubisoft,0,"Single-player, multiplayer"
Napoleon: Total War,"The Creative Assembly,
Feral Interactive (Mac OS X)","Sega, Typhoon Games,
Feral Interactive (Mac OS X)[1]",0,"Single-player, multiplayer"
Guardians of Middle-earth,"Monolith Productions
Zombie Studios (PC)",Warner Bros. Interactive Entertainment,0,Multiplayer
Deus Ex: Human Revolution,Eidos Montreal,Square Enix,0,Single-player
Sorcery Saga: Curse of the Great Curry God,"Compile Heart[1]
ZeroDiv[2]","JP Compile Heart
NA Aksys Games
EU Rising Star Games",0,No data
Trials Evolution,"RedLynx
Ubisoft Shanghai","Microsoft Studios
Ubisoft (PC)",0,"Single-player, Multiplayer"
Sly Cooper: Thieves in Time,Sanzaru Games,Sony Computer Entertainment,0,"Single-player, local multiplayer"
Just Dance 2014,"Ubisoft Paris
Ubisoft Milan
Ubisoft Reflections
Ubisoft Romania
Ubisoft Pune
Ubisoft Montpellier
Ubisoft Barcelona",Ubisoft,0,No data
"Naruto Shippūden:
Ultimate Ninja Storm 3",CyberConnect2,Namco Bandai Games,0,"Single-player, multiplayer"
Pokémon Rumble U,"Ambrella
Nintendo SPD",Nintendo,0,No data
Dungeonland,Critical Studio,Paradox Interactive,0,"Singleplayer, Multiplayer (3 vs 1 Dungeon Master)"
Lost Planet 3,Spark Unlimited,Capcom,0,"Single-player, multiplayer"
Path of Exile,Grinding Gear Games,"Grinding Gear Games

SEA Garena",0,Multiplayer
Shin Megami Tensei IV,Atlus,"Atlus

TW/KOR Nintendo[1][2]",0,No data
DC Universe Online,Sony Online Entertainment,"Sony Computer Entertainment
WB Games
AsiaSoft[1]",0,Online multiplayer
Zombies,Babaroga,Twilight Creations Inc.,0,"Single-player, Multiplayer"
Killzone: Mercenary,Guerrilla Cambridge,Sony Computer Entertainment,0,"Single-player, online multiplayer"
Call of Duty: Ghosts,"Infinity Ward

Additional work by:

Raven Software (Multiplayer)[1]
Neversoft (Extinction)[2]
Certain Affinity (Multiplayer)[3]
Treyarch (Wii U version)","Activision
Square Enix (Japan)",0,"Single-player, multiplayer"
BioShock Infinite: Burial at Sea,Irrational Games,2K Games,0,Single-player
Pokémon Mystery Dungeon: Gates to Infinity,Spike Chunsoft,"The Pokémon Company[1]
Nintendo",0,No data
Mario & Sonic at the Sochi 2014 Olympic Winter Games,"Sega Sports R&D
Nintendo SPD",Nintendo,0,"Single-player, multiplayer"
Record of Agarest War,"Idea Factory
Laughing Jackal (PC)
HyperDevbox (Android)","JP Compile Heart, Red Entertainment
EU Ghostlight


NA Aksys Games",0,Single-player
Skullgirls,"Reverge Labs
Lab Zero Games","Autumn Games
Konami (2012-2013)
Marvelous (2013-present)
CyberFront (Japan)",0,No data
